,Wine.Color,fixed.acidity,volatile.acidity,citric.acid,residual.sugar,chlorides,free.sulfur.dioxide,total.sulfur.dioxide,density,pH,sulphates,alcohol,Class
1670,R,7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,Good
1671,W,6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,Good
1672,W,6.6,0.24,0.24,8.6,0.034,25,135,0.99582,3.33,0.59,10.3,Good
1673,W,7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,Good
1674,R,8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,Good
1675,R,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,Bad
1676,W,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,Bad
1677,W,6.8,0.27,0.12,1.3,0.04,87,168,0.992,3.18,0.41,10,Good
1678,W,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,Bad
1679,W,7.6,0.32,0.34,18.35,0.054,44,197,1.0008,3.22,0.55,9,Bad
1680,W,6.8,0.26,0.44,8.2,0.046,52,183,0.99584,3.2,0.51,9.4,Bad
1681,W,7.9,0.21,0.39,2,0.057,21,138,0.99176,3.05,0.52,10.9,Bad
1682,W,6.4,0.26,0.22,5.1,0.037,23,131,0.9944,3.29,0.32,10.1,Good
1683,W,8.5,0.19,0.49,3.5,0.044,29,117,0.9938,3.14,0.51,10.1,Good
1684,W,6.2,0.17,0.28,4.7,0.037,39,133,0.9931,3.41,0.46,10.8,Good
1685,W,7,0.3,0.28,2.2,0.042,21,177,0.99166,3.2,0.57,11.4,Bad
1686,W,6,0.26,0.5,2.2,0.048,59,153,0.9928,3.08,0.61,9.8,Bad
1687,W,6.9,0.23,0.34,2.7,0.032,24,121,0.9902,3.14,0.38,12.4,Good
1688,R,12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,Good
1689,R,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,Bad
1690,W,6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,Good
1691,W,6.4,0.42,0.46,8.4,0.05,58,180,0.99495,3.18,0.46,9.7,Good
1692,W,6.8,0.24,0.33,3.2,0.049,68,161,0.99324,3.1,0.69,10.2,Good
1693,R,7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,Bad
1694,W,6.5,0.22,0.32,2.2,0.028,36,92,0.99076,3.27,0.59,11.9,Good
1695,R,7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,Bad
1696,W,6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,Bad
1697,R,9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,Good
1698,W,6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,Good
1699,W,6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,Good
1700,R,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,Bad
1701,W,6,0.19,0.29,1.2,0.046,29,92,0.99033,3.22,0.53,11.3,Good
1702,W,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,Bad
1703,W,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,Bad
1704,W,6.2,0.21,0.29,1.6,0.039,24,92,0.99114,3.27,0.5,11.2,Good
1705,R,6.8,0.51,0.01,2.1,0.074,9,25,0.9958,3.33,0.56,9.5,Bad
1706,W,7.7,0.28,0.35,15.3,0.056,31,117,0.9998,3.27,0.5,9.6,Bad
1707,W,8.9,0.26,0.33,8.1,0.024,47,202,0.99558,3.13,0.46,10.8,Good
1708,W,6.9,0.39,0.4,4.6,0.022,5,19,0.9915,3.31,0.37,12.6,Bad
1709,W,5.9,0.14,0.25,4.5,0.027,34,140,0.9934,3.49,0.51,10.8,Good
1710,W,7.6,0.16,0.41,1.9,0.047,27,151,0.9937,3.2,0.53,10.1,Bad
1711,W,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,Bad
1712,W,7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,Bad
1713,W,6.6,0.27,0.49,7.8,0.049,62,217,0.9959,3.17,0.45,9.4,Good
1714,R,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,Good
1715,W,7.7,0.39,0.28,4.9,0.035,36,109,0.9918,3.19,0.58,12.2,Good
1716,W,7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,Good
1717,W,6.2,0.2,0.49,1.6,0.065,17,143,0.9937,3.22,0.52,9.2,Bad
1718,R,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,Bad
1719,W,6.8,0.22,0.31,6.3,0.035,33,170,0.9918,3.24,0.66,12.6,Good
1720,W,6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,Bad
1721,R,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,Good
1722,W,7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,Bad
1723,R,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,Good
1724,W,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,Good
1725,W,6.6,0.28,0.34,0.8,0.037,42,119,0.9888,3.03,0.37,12.5,Bad
1726,W,6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,Good
1727,W,8.1,0.46,0.31,1.7,0.052,50,183,0.9923,3.03,0.42,11.2,Bad
1728,R,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,Bad
1729,R,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,Bad
1730,W,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,Bad
1731,W,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,Good
1732,W,7.3,0.25,0.29,7.5,0.049,38,158,0.9965,3.43,0.38,9.6,Bad
1733,R,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,Good
1734,W,7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,Good
1735,W,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,Good
1736,R,10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,Good
1737,W,6.4,0.17,0.32,2.4,0.048,41,200,0.9938,3.5,0.5,9.7,Bad
1738,W,7.2,0.28,0.26,12.5,0.046,48,179,0.9975,3.1,0.52,9,Good
1739,W,5.7,0.25,0.27,11.5,0.04,24,120,0.99411,3.33,0.31,10.8,Bad
1740,W,7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,Good
1741,R,7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,Good
1742,W,6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,Bad
1743,W,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,Bad
1744,W,6.4,0.24,0.5,11.6,0.047,60,211,0.9966,3.18,0.57,9.3,Bad
1745,W,6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,Bad
1746,W,7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,Good
1747,W,5.9,0.18,0.29,4.6,0.032,68,137,0.99159,3.21,0.38,11.3,Bad
1748,W,5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,Bad
1749,W,6.7,0.23,0.17,1.3,0.061,14,100,0.9925,3.07,0.55,9.5,Bad
1750,W,7.6,0.23,0.29,8.6,0.053,65,146,0.9963,3.11,0.32,9.8,Good
1751,W,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,Bad
1752,W,9.4,0.24,0.29,8.5,0.037,124,208,0.99395,2.9,0.38,11,Bad
1753,W,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,Bad
1754,W,8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,Good
1755,W,6.9,0.15,0.29,2.3,0.033,14,82,0.99132,3.1,0.58,11.2,Good
1756,W,6.3,0.27,0.25,5.8,0.038,52,155,0.995,3.28,0.38,9.4,Good
1757,W,6.3,0.3,0.91,8.2,0.034,50,199,0.99394,3.39,0.49,11.7,Good
1758,W,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,Good
1759,R,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,Bad
1760,W,6.7,0.29,0.45,14.3,0.054,30,181,0.99869,3.14,0.57,9.1,Bad
1761,W,7.1,0.2,0.35,3.2,0.034,21,107,0.99195,3.11,0.54,11.1,Good
1762,W,6.3,0.2,0.18,10.6,0.045,57,159,0.99666,3.09,0.54,9.2,Bad
1763,W,7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,Good
1764,W,6.8,0.15,0.3,5.3,0.05,40,127,0.9942,3.4,0.39,9.7,Bad
1765,W,6.2,0.21,0.24,1.2,0.051,31,95,0.99036,3.24,0.57,11.3,Good
1766,W,6.2,0.3,0.42,2.2,0.036,28,128,0.9901,3.13,0.38,11.6,Bad
1767,R,7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,Good
1768,R,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,Bad
1769,W,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,Bad
1770,W,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,Good
1771,W,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,Good
1772,W,7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,Good
1773,R,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,Bad
1774,W,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,Good
1775,W,7.9,0.51,0.36,6.2,0.051,30,173,0.9984,3.09,0.53,9.7,Good
1776,W,7.6,0.36,0.48,13.5,0.038,44,116,0.9982,3.04,0.48,9.2,Bad
1777,W,5.9,0.48,0.3,1.5,0.037,19,78,0.99057,3.47,0.42,11.9,Good
1778,W,7.6,0.38,0.28,4.2,0.029,7,112,0.9906,3,0.41,12.6,Bad
1779,W,7.6,0.23,0.34,1.6,0.043,24,129,0.99305,3.12,0.7,10.4,Good
1780,W,6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,Bad
1781,W,6.3,0.29,0.23,14.2,0.037,24,99,0.99528,3.08,0.38,10.6,Good
1782,W,7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,Bad
1783,W,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,Bad
1784,W,7.3,0.33,0.22,1.4,0.041,40,177,0.99287,3.14,0.48,9.9,Bad
1785,R,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,Bad
1786,W,6.4,0.33,0.24,9.8,0.041,29,109,0.9956,3.29,0.47,10.1,Bad
1787,R,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,Good
1788,W,7,0.22,0.31,2.7,0.03,41,136,0.9898,3.16,0.37,12.7,Bad
1789,W,6.7,0.3,0.44,18.75,0.057,65,224,0.99956,3.11,0.53,9.1,Bad
1790,W,6,0.59,0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,Bad
1791,W,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,Good
1792,W,7.1,0.39,0.35,12.5,0.044,26,72,0.9941,3.17,0.29,11.6,Bad
1793,W,6.6,0.28,0.09,10.9,0.051,37,131,0.99566,2.93,0.62,9.5,Bad
1794,W,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,Bad
1795,W,6.2,0.31,0.26,4.8,0.037,36,148,0.9928,3.21,0.41,10.4,Good
1796,W,6,0.16,0.22,1.6,0.042,36,106,0.9905,3.24,0.32,11.4,Bad
1797,W,6.8,0.26,0.33,1.5,0.047,44,167,0.9928,3.12,0.44,10.5,Bad
1798,W,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,Good
1799,W,8.8,0.2,0.43,15,0.053,60,184,1.0008,3.28,0.79,8.8,Good
1800,W,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,Bad
1801,R,8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,Bad
1802,W,9.2,0.18,0.49,1.5,0.041,39,130,0.9945,3.04,0.49,9.8,Bad
1803,W,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,Good
1804,R,9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,Bad
1805,W,6.7,0.18,0.3,6.4,0.048,40,251,0.9956,3.29,0.52,10,Good
1806,R,7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,Good
1807,W,6.4,0.31,0.28,2.5,0.039,34,137,0.98946,3.22,0.38,12.7,Good
1808,R,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,Good
1809,W,5.9,0.4,0.32,6,0.034,50,127,0.992,3.51,0.58,12.5,Good
1810,W,7.2,0.18,0.41,1.2,0.048,41,97,0.9919,3.14,0.45,10.4,Good
1811,W,4.4,0.54,0.09,5.1,0.038,52,97,0.99022,3.41,0.4,12.2,Good
1812,R,8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,Bad
1813,R,7,0.56,0.17,1.7,0.065,15,24,0.99514,3.44,0.68,10.55,Good
1814,W,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,Bad
1815,W,6.7,0.35,0.32,9,0.032,29,113,0.99188,3.13,0.65,12.9,Good
1816,W,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,Bad
1817,R,8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,Bad
1818,W,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,Good
1819,R,8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,Good
1820,R,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,Good
1821,W,5.6,0.34,0.25,2.5,0.046,47,182,0.99093,3.21,0.4,11.3,Bad
1822,W,7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,Bad
1823,W,6.9,0.22,0.32,9.3,0.04,22,110,0.9958,3.34,0.54,10.7,Good
1824,W,6.8,0.23,0.42,7.4,0.044,56,189,0.9958,3.22,0.48,9.3,Good
1825,W,7.2,0.26,0.3,2.1,0.033,50,158,0.9909,3.33,0.43,12.1,Good
1826,W,5.8,0.27,0.2,7.3,0.04,42,145,0.99442,3.15,0.48,9.8,Bad
1827,R,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,Bad
1828,W,6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,Good
1829,W,6.6,0.15,0.34,5.1,0.055,34,125,0.9942,3.36,0.42,9.6,Good
1830,W,8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,Bad
1831,W,6,0.13,0.36,1.6,0.052,23,72,0.98974,3.1,0.5,11.5,Good
1832,W,6.8,0.19,0.71,17.5,0.042,21,114,0.99784,2.85,0.5,9.5,Good
1833,W,7.2,0.23,0.25,18.8,0.085,19,111,1.00044,3.1,0.51,8.7,Bad
1834,W,6.7,0.28,0.14,1.4,0.043,64,159,0.992,3.17,0.39,10,Bad
1835,W,7,0.35,0.3,6.5,0.028,27,87,0.9936,3.4,0.42,11.4,Good
1836,W,5.8,0.28,0.27,2.6,0.054,30,156,0.9914,3.53,0.42,12.4,Good
1837,W,7,0.25,0.45,2.3,0.045,40,118,0.99064,3.16,0.48,11.9,Bad
1838,R,7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,Good
1839,W,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,Good
1840,R,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,Good
1841,W,6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,Good
1842,W,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,Bad
1843,W,5.8,0.23,0.27,1.8,0.043,24,69,0.9933,3.38,0.31,9.4,Good
1844,R,6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,Bad
1845,W,7.2,0.21,1,1.1,0.154,46,114,0.9931,2.95,0.43,9.2,Bad
1846,R,6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,Good
1847,W,7.9,0.28,0.41,4.9,0.058,31,153,0.9966,3.27,0.51,9.7,Good
1848,W,6.4,0.32,0.26,7.9,0.05,53,180,0.99514,3.14,0.5,9.6,Bad
1849,W,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,Bad
1850,W,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,Good
1851,W,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,Bad
1852,W,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,Good
1853,W,6.9,0.2,0.3,4.7,0.041,40,148,0.9932,3.16,0.35,10.2,Good
1854,W,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,Good
1855,W,7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,Good
1856,R,8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,Bad
1857,W,6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,Good
1858,W,6.2,0.16,0.34,1.7,0.038,85,153,0.9909,3.33,0.86,12,Good
1859,W,8.2,0.37,0.36,1,0.034,17,93,0.9906,3.04,0.32,11.7,Good
1860,W,6.4,0.125,0.36,1.4,0.044,22,68,0.99014,3.15,0.5,11.7,Good
1861,W,5.8,0.27,0.22,12.7,0.058,42,206,0.9946,3.32,0.38,12.3,Bad
1862,W,6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,Bad
1863,W,6.8,0.28,0.37,7,0.057,35,208,0.9973,3.57,0.55,10.2,Bad
1864,W,6.3,0.39,0.24,6.9,0.069,9,117,0.9942,3.15,0.35,10.2,Bad
1865,W,6.5,0.36,0.31,13.55,0.053,20,113,0.99544,3.2,0.56,11,Bad
1866,W,5.8,0.17,0.34,1.8,0.045,96,170,0.99035,3.38,0.9,11.8,Good
1867,W,8,0.25,0.35,1.1,0.054,13,136,0.99366,3.08,0.55,9.5,Good
1868,W,6.6,0.2,0.14,4.4,0.184,35,168,0.99396,2.93,0.45,9.4,Bad
1869,W,7,0.26,0.46,15.55,0.037,61,171,0.9986,2.94,0.35,8.8,Bad
1870,W,7.2,0.4,0.38,2.2,0.03,40,109,0.99075,3.27,0.46,12.6,Good
1871,W,6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,Bad
1872,W,8.4,0.28,0.4,8.9,0.048,33,146,0.9988,3.4,0.46,9.3,Bad
1873,R,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,Bad
1874,W,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,Good
1875,W,8.3,0.23,0.3,2.1,0.049,21,153,0.9953,3.09,0.5,9.6,Good
1876,R,8.9,0.31,0.36,2.6,0.056,10,39,0.99562,3.4,0.69,11.8,Good
1877,R,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,Good
1878,W,6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,Bad
1879,W,8,0.23,0.41,1.1,0.048,35,150,0.99168,3.09,0.47,11.2,Bad
1880,W,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,Good
1881,R,7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,Good
1882,W,6.5,0.29,0.52,7.9,0.049,35,192,0.99551,3.16,0.51,9.5,Good
1883,R,8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,Bad
1884,R,9.2,0.59,0.24,3.3,0.101,20,47,0.9988,3.26,0.67,9.6,Bad
1885,W,4.2,0.215,0.23,5.1,0.041,64,157,0.99688,3.42,0.44,8,Bad
1886,W,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,Good
1887,W,5.8,0.36,0.32,1.7,0.033,22,96,0.9898,3.03,0.38,11.2,Good
1888,R,8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,Good
1889,R,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,Good
1890,R,10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,Bad
1891,W,6.2,0.24,0.27,16.8,0.04,48,129,0.99691,3.23,0.38,10.5,Good
1892,W,6,0.28,0.35,1.9,0.037,16,120,0.9933,3.16,0.69,10.6,Bad
1893,W,6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,Good
1894,W,6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,Good
1895,W,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,Good
1896,W,6.7,0.15,0.38,1.7,0.037,20,84,0.99046,3.09,0.53,11.4,Good
1897,R,7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,Bad
1898,R,6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,Bad
1899,W,6.8,0.15,0.32,8.8,0.058,24,110,0.9972,3.4,0.4,8.8,Good
1900,W,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,Good
1901,R,7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,Bad
1902,R,9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,Bad
1903,W,8.3,0.33,0.42,1.15,0.033,18,96,0.9911,3.2,0.32,12.4,Bad
1904,W,6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,Good
1905,W,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,Bad
1906,W,6.4,0.33,0.31,5.5,0.048,42,173,0.9951,3.19,0.66,9.3,Good
1907,W,7.3,0.24,0.34,7.5,0.048,29,152,0.9962,3.1,0.54,9,Bad
1908,W,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,Good
1909,W,9.2,0.27,0.34,10.5,0.043,49,228,0.9974,3.04,0.41,10.4,Bad
1910,W,6.7,0.35,0.48,8.8,0.056,35,167,0.99628,3.04,0.47,9.4,Good
1911,W,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,Bad
1912,W,6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,Bad
1913,W,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,Bad
1914,W,6.6,0.38,0.36,9.2,0.061,42,214,0.9976,3.31,0.56,9.4,Bad
1915,R,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,Bad
1916,W,7.5,0.33,0.36,2.6,0.051,26,126,0.99097,3.32,0.53,12.7,Good
1917,W,7,0.55,0.05,8,0.036,19,164,0.99269,3.26,0.46,12.2,Good
1918,W,5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,Good
1919,W,7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,Good
1920,R,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,Good
1921,R,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,Bad
1922,W,6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,Good
1923,W,6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,Bad
1924,W,6.8,0.32,0.28,4.8,0.034,25,100,0.99026,3.08,0.47,12.4,Good
1925,W,7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,Good
1926,W,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,Good
1927,W,6,0.3,0.44,1.5,0.046,15,182,0.99455,3.5,0.52,10.4,Good
1928,W,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,Good
1929,W,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,Bad
1930,W,7.2,0.28,0.38,2,0.052,23,156,0.9912,3.13,0.52,11.1,Bad
1931,W,6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,Good
1932,W,9,0.26,0.34,6.7,0.029,21,162,0.99497,3.08,0.5,10.6,Bad
1933,W,7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,Good
1934,R,9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,Good
1935,W,6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,Bad
1936,W,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,Bad
1937,W,6.4,0.26,0.21,7.1,0.04,35,162,0.9956,3.39,0.58,9.9,Good
1938,W,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,Bad
1939,W,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,Good
1940,R,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,Bad
1941,W,6,0.2,0.25,2,0.041,30,95,0.99078,3.27,0.56,11.1,Bad
1942,W,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,Bad
1943,R,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,Bad
1944,W,7.8,0.13,0.3,1.8,0.04,43,179,0.9955,3.43,0.41,9,Bad
1945,W,7.9,0.28,0.32,3.6,0.038,9,76,0.992,3.05,0.31,11.7,Good
1946,R,8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,Bad
1947,W,6.7,0.34,0.43,1.6,0.041,29,114,0.99014,3.23,0.44,12.6,Good
1948,W,6.9,0.25,0.24,1.8,0.053,6,121,0.993,3.23,0.7,11.4,Good
1949,R,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,Good
1950,R,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,Bad
1951,W,7.2,0.25,0.28,14.4,0.055,55,205,0.9986,3.12,0.38,9,Good
1952,W,6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,Bad
1953,W,7.1,0.23,0.39,1.6,0.032,12,65,0.9898,3.25,0.4,12.7,Good
1954,W,7.4,0.22,0.27,1.6,0.057,45,98,0.99299,3.29,0.44,9.9,Good
